"filename", "language", "CSS", "JavaScript", "XML", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\origi\OneDrive\Desktop\     \ReactJS\portfolio\src\components\ServiceSection\ServiceSection.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 2, 37
"c:\Users\origi\OneDrive\Desktop\     \ReactJS\portfolio\src\components\ServicesSectionItem\ServicesSectionItem.css", "CSS", 14, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\origi\OneDrive\Desktop\     \ReactJS\portfolio\src\components\ServicesSectionItem\ServicesSectionItem.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 2, 20
"c:\Users\origi\OneDrive\Desktop\     \ReactJS\portfolio\src\components\TestimonialsSection\TestimonialsSection.css", "CSS", 77, 0, 0, 0, 0, 0, 0, 12, 89
"c:\Users\origi\OneDrive\Desktop\     \ReactJS\portfolio\src\components\TestimonialsSection\TestimonialsSection.js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 4, 70
"c:\Users\origi\OneDrive\Desktop\     \ReactJS\portfolio\src\components\ivanInfo\ivanInfo.css", "CSS", 11, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\origi\OneDrive\Desktop\     \ReactJS\portfolio\src\components\ivanInfo\ivanInfo.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\origi\OneDrive\Desktop\     \ReactJS\portfolio\src\index.css", "CSS", 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\origi\OneDrive\Desktop\     \ReactJS\portfolio\src\index.js", "JavaScript", 0, 12, 0, 0, 0, 0, 3, 3, 18
"c:\Users\origi\OneDrive\Desktop\     \ReactJS\portfolio\src\pages\About\About.css", "CSS", 73, 0, 0, 0, 0, 0, 0, 15, 88
"c:\Users\origi\OneDrive\Desktop\     \ReactJS\portfolio\src\pages\About\About.js", "JavaScript", 0, 63, 0, 0, 0, 0, 0, 2, 65
"c:\Users\origi\OneDrive\Desktop\     \ReactJS\portfolio\src\pages\Contact\Contact.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\origi\OneDrive\Desktop\     \ReactJS\portfolio\src\pages\Contact\Contact.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\origi\OneDrive\Desktop\     \ReactJS\portfolio\src\pages\Home\Home.css", "CSS", 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\origi\OneDrive\Desktop\     \ReactJS\portfolio\src\pages\Home\Home.js", "JavaScript", 0, 19, 0, 0, 0, 0, 1, 2, 22
"c:\Users\origi\OneDrive\Desktop\     \ReactJS\portfolio\src\pages\Projects\Projects.css", "CSS", 38, 0, 0, 0, 0, 0, 0, 6, 44
"c:\Users\origi\OneDrive\Desktop\     \ReactJS\portfolio\src\pages\Projects\Projects.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 4, 61
"c:\Users\origi\OneDrive\Desktop\     \ReactJS\portfolio\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\origi\OneDrive\Desktop\     \ReactJS\portfolio\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 848, 863, 6, 38, 38271, 20, 43, 232, 40321
